"MBB","1.601.460","33.630.660.000","10.000","210.000.000","1.591.460","33.420.660.000","","23.08%"
"FUEVFVND","1.258.900","19.488.929.900","26.000","401.685.000","1.232.900","19.087.244.900","",""
"DXG","1.728.930","25.446.685.000","508.470","7.657.611.500","1.220.460","17.789.073.500","64.094.034","36.68%"
"ROS","1.102.610","2.440.244.000","2.330","5.155.900","1.100.280","2.435.088.100","267.389.575","1.89%"
"VPB","1.427.660","40.404.870.000","367.280","10.285.014.000","1.060.380","30.119.856.000","3.183.764","23.32%"
"PVD","1.069.070","14.504.388.500","50.160","678.276.000","1.018.910","13.826.112.500","168.155.563","9.11%"
"SBT","656.430","12.420.538.000","239.850","4.589.419.500","416.580","7.831.118.500","549.965.718","9.95%"
"HDG","351.620","10.905.550.000","220","6.780.000","351.400","10.898.770.000","59.123.981","10.68%"
"VHM","794.220","67.360.604.000","448.170","38.047.120.000","346.050","29.313.484.000","904.985.807","21.98%"
"HSG","698.040","13.032.520.000","363.860","6.704.035.500","334.180","6.328.484.500","165.446.544","11.79%"
"HNG","242.020","3.583.654.500","7.000","101.150.000","235.020","3.482.504.500","541.208.298","0.18%"
"GAS","284.230","24.310.808.000","73.630","6.281.661.000","210.600","18.029.147.000","879.232.372","3.09%"
"MSN","520.860","44.560.097.000","310.760","26.227.508.000","210.100","18.332.589.000","179.843.472","33.69%"
"BMP","229.630","14.218.834.000","52.700","3.267.714.000","176.930","10.951.120.000","14.368.582","82.45%"
"CMX","163.210","2.604.397.000","4.200","66.917.000","159.010","2.537.480.000","10.561.298","16.41%"
"GEX","656.820","13.628.193.000","512.660","10.642.616.000","144.160","2.985.577.000","172.435.803","13.68%"
"KDH","165.170","4.466.338.000","24.580","663.410.000","140.590","3.802.928.000","57.055.147","39.14%"
"HDC","128.840","3.605.008.500","4.000","113.800.000","124.840","3.491.208.500","30.614.857","2.97%"
"HPG","1.611.570","59.555.945.500","1.488.510","54.972.011.000","123.060","4.583.934.500","524.827.464","33.16%"
"BWE","148.460","4.759.250.000","32.650","1.032.940.500","115.810","3.726.309.500","64.556.070","18.21%"
"KDC","114.890","4.337.631.000","800","30.100.000","114.090","4.307.531.000","193.604.555","24.57%"
"GEG","214.800","3.631.978.500","103.000","1.735.600.000","111.800","1.896.378.500","33.875.230","38.84%"
"HAG","95.220","452.778.800","1.000","4.700.000","94.220","448.078.800","385.207.941","1.05%"
