IJC,1953.6,14.25,869390,13.73 %,0.73
KSB,1869.6,29.00,1998400,13.50 %,1.38
ELC,382.9,7.43,274660,13.44 %,0.90
NSC,1398.2,79.50,8120,13.41 %,0.47
HAS,68,8.50,2000,13.33 %,0.97
DTA,82,4.54,147710,13.22 %,7.51
KBC,7540,15.85,3805330,13.21 %,1.54
FRT,2010.1,25.45,2141340,13.11 %,1.61
VDS,950.9,9.50,4240,13.10 %,0.48
C47,161,9.46,316970,13.02 %,1.91
SMC,908.8,14.90,152910,12.88 %,0.61
TPB,19101.9,22.30,1785650,12.82 %,0.80
TCL,853.5,28.30,239700,12.75 %,0.85
PVD,5711.9,13.55,5411950,12.45 %,0.60
PGI,1818.7,20.50,730,12.26 %,0.13
TMT,213.9,5.50,15190,12.24 %,1.04
APC,444.7,22.10,43960,12.18 %,0.69
REE,14727.8,47.50,483590,12.16 %,1.00
JVC,772.7,4.64,608800,12.08 %,1.00
HT1,6467.9,16.95,1284190,11.86 %,1.04
SZL,1064,53.20,43440,11.76 %,0.81
VID,305.1,9.88,49140,11.76 %,1.58
ITA,4983.2,5.31,15150170,11.55 %,1.08
CDC,387.9,24.70,279850,11.53 %,6.06
TDC,961,9.61,501730,11.20 %,0.87
FUE,0,15.80,203170,11.11 %,0.44
SBV,312,11.40,101400,11.11 %,2.00
VHM,284708.7,85.00,2406180,10.97 %,0.88
DTT,108.4,13.30,0,10.83 %,0
VGC,11477.8,25.60,197790,10.82 %,0.67
VPG,542.5,15.50,542370,10.71 %,0.48
EVG,351,5.85,743150,10.59 %,0.90
KHP,362.7,6.30,1880930,10.53 %,10.29
LPB,11528,11.80,4937270,10.47 %,0.63
SCR,2590.1,7.07,2063890,10.47 %,0.59
NTL,1421.5,22.35,650590,10.37 %,0.77
BMC,138.8,11.20,81650,10.34 %,3.14
SZC,2890,28.90,1190660,10.31 %,0.96
PDR,16995.7,42.90,2347190,10.28 %,0.94
DBC,4834.9,46.15,4944900,10.27 %,3.24
BMI,2768,30.30,426150,10.18 %,0.72
PTB,2896.5,59.60,120860,10.17 %,0.48
E1V,8224.8,16.92,147990,10.16 %,0.26
FUE,0,13.10,730,9.99 %,0.06
CII,5309.4,18.75,1433840,9.97 %,0.65
BCE,255.3,8.51,123740,9.81 %,0.87
HAR,456.1,4.50,399210,9.76 %,0.39
APH,11665.5,88.00,553190,9.73 %,0.30
FUE,0,12.52,3160,9.63 %,0.09
