"SHA","142","4.68","9050","5.41 %","0.13"
"SGT","434.4","5.87","11420","5.39 %","0.55"
"HUB","359.8","23.60","1830","5.36 %","0.24"
"CMV","167","13.80","320","5.34 %","0.58"
"HU1","65.2","6.52","60","5.16 %","0.01"
"HTI","314.4","12.60","1240","5.00 %","0.23"
"LSS","444.5","6.35","36980","4.96 %","0.32"
"ANV","2576.3","20.20","266680","4.94 %","0.68"
"REE","13022.5","42.00","320340","4.87 %","0.72"
"HDC","1476.7","22.20","619560","4.72 %","0.57"
"PC1","3600.7","22.60","150700","4.63 %","0.56"
"DHA","597.2","39.50","24000","4.55 %","0.75"
"SVC","2365.8","71.00","0","4.41 %","-"
"DGC","5420.3","41.90","524820","4.36 %","0.59"
"NLG","6947","26.75","476190","4.30 %","0.61"
"BTT","508.4","36.00","3960","4.20 %","3.63"
"HHS","1379.2","5.02","3265650","4.15 %","0.86"
"AAM","141.4","11.45","0","4.09 %","-"
"TPB","21114.9","24.65","2178010","4.01 %","0.81"
"ADS","262.4","9.35","15760","4.00 %","0.89"
"COM","689.8","48.85","490","3.94 %","0.33"
"PGC","1140.5","18.90","5560","3.85 %","0.09"
"DPG","1219.5","27.10","338750","3.83 %","0.66"
"VNM","191585.7","110.00","2946790","3.79 %","1.63"
"TBC","1593.8","25.10","19520","3.72 %","1.18"
"SRF","427.3","13.15","1530","3.54 %","0.06"
"BIC","2427.6","20.70","66640","3.50 %","0.46"
"TRC","1080","36.00","2370","3.45 %","0.23"
"SHP","2295.9","24.50","0","3.38 %","-"
"BID","172142.4","42.80","1940000","3.38 %","0.91"
"DAH","179.2","5.24","279920","3.35 %","0.56"
"DPM","6732.1","17.20","2186110","3.30 %","0.76"
"FCN","1309","10.95","636830","3.30 %","0.43"
"HMC","309.8","14.75","10","3.15 %","-"
"BFC","960.4","16.80","335860","3.07 %","0.52"
"HTN","912.5","27.60","196890","2.99 %","1.17"
"FIR","657.3","31.60","79500","2.93 %","1.01"
"POM","1496.3","5.35","8900","2.88 %","0.45"
"DRC","2346.2","19.75","363470","2.86 %","0.34"
"RDP","299.4","8.02","660","2.82 %","0.18"
"VHM","266286.4","79.50","5830890","2.58 %","2.78"
"PET","870.3","10.05","380820","2.55 %","0.43"
"VTB","121.6","10.15","4330","2.53 %","0.64"
"VCB","324526.8","87.50","657830","2.46 %","0.63"
"BBC","778.7","50.50","2620","2.43 %","1.32"
"VFG","1566.1","48.80","1570","2.41 %","0.15"
"HTV","167.7","12.80","20","2.40 %","-"
"EIB","21621.7","17.50","331950","2.34 %","0.94"
"SRC","494","17.60","12880","2.33 %","0.79"
"VID","284.1","9.20","5580","2.22 %","0.85"
"ASP","233","6.24","22120","2.13 %","0.61"
"TCR","35.3","3.40","13550","2.10 %","5.30"
"KBC","6993","14.70","1035230","2.08 %","0.40"
"CDC","408.4","26.00","380","1.96 %","0.17"
"AGR","1049.4","4.95","462710","1.85 %","0.62"
"MDG","122","11.20","6220","1.82 %","0.99"
"OPC","1514.9","57.00","3080","1.79 %","1.72"
"PDN","1385.4","74.80","10","1.77 %","0.01"
"DBD","2425.1","46.30","8850","1.76 %","0.54"
"ILB","426.3","17.40","23970","1.75 %","0.67"
"UIC","320","40.00","3600","1.65 %","1.04"
"HDG","3802.9","24.65","645250","1.65 %","0.42"
"IJC","1713.7","12.50","401320","1.63 %","0.62"
"PXS","340.8","5.68","67160","1.43 %","0.40"
"LCM","17.5","0.71","250","1.43 %","0.01"
"TCT","371.5","29.05","28770","1.40 %","0.47"
"TVT","429.4","20.45","10","1.24 %","-"
"PTC","165.6","9.20","0","1.21 %","-"
"NCT","1792.4","68.50","10210","1.18 %","0.39"
"HQC","829.3","1.74","6913040","1.16 %","0.85"
"PGD","2457","27.30","770","1.11 %","0.35"
"GAS","139282.5","73.50","606780","1.10 %","0.67"
"ITC","1087.8","15.00","1410","1.01 %","0.83"
"EVG","303","5.05","4658590","1.00 %","2.36"
"VHC","7610.1","41.50","612590","1.00 %","1.11"
"ST8","259.8","10.10","300","1.00 %","0.29"
"DRL","504.4","53.10","300","0.95 %","0.17"
"PHC","255.8","9.94","197010","0.89 %","0.91"
"TLG","2746.1","35.30","51110","0.86 %","0.45"
"CII","4969.6","17.55","886990","0.84 %","0.45"
"DSN","543.7","45.00","9630","0.67 %","0.45"
"SCR","2326.4","6.35","1453550","0.63 %","0.56"
"TV2","1735.9","48.20","92900","0.63 %","1.13"
"TMP","2922.5","41.75","500","0.60 %","0.20"
"CIG","57.4","1.82","360","0.55 %","0.09"
"PGI","1778.8","20.05","20950","0.50 %","2.74"
"BMC","135.1","10.90","13300","0.46 %","1.17"
"HPX","6186.9","26.90","432870","0.43 %","1.04"
"GTA","128.4","12.35","100","0.41 %","0.09"
"HAH","651.2","13.35","199290","0.38 %","0.68"
"FCM","251.3","6.13","1830","0.33 %","0.16"
"CHP","2842.8","19.35","14000","0.26 %","0.76"
"BCE","231.3","7.71","92640","0.13 %","0.85"
"SBA","946.6","15.65","23540","0.00 %","0.76"
"PME","5258.3","70.10","1870","0.00 %","0.39"
"BCG","874.8","8.10","369340","0.00 %","0.49"
"VSH","4124.8","20.00","180260","0.00 %","1.88"
"ASG","2458.8","39.00","7420","0.00 %","0.13"
"GMD","7037.1","23.70","471190","0.00 %","0.90"
"GMC","501.1","16.70","4210","0.00 %","0.29"
"TDP","1449.6","30.20","80310","0.00 %","2.30"
"LEC","409.8","15.70","50","0.00 %","0.12"
"DC4","414","13.80","89140","0.00 %","0.49"
"HT1","6105.4","16.00","1149300","0.00 %","0.86"
"TCD","468.2","9.90","10030","0.00 %","1.54"
"CLW","312","24.00","60","0.00 %","0.27"
"BMP","4698.8","57.40","231490","-0.02 %","1.18"
"CTS","802.5","7.54","140930","-0.13 %","0.54"
"TMS","1984.8","31.45","4100","-0.16 %","0.83"
"IBC","1770.5","21.70","110440","-0.23 %","0.50"
"VPI","6600","41.25","1102010","-0.24 %","1.08"
"SJD","1273","18.45","37340","-0.27 %","0.32"
"CAV","4043.5","70.20","280","-0.28 %","0.39"
"SGN","2266.8","67.50","1590","-0.30 %","0.15"
"NNC","1039","47.40","33280","-0.32 %","2.19"
"BTP","858.9","14.20","6780","-0.35 %","0.33"
"TYA","80.7","13.15","24140","-0.38 %","1.28"
"NSC","1255.7","71.40","16550","-0.42 %","0.62"
"ACC","192","19.20","490","-0.52 %","0.09"
"KDH","14119.2","24.40","1239270","-0.61 %","1.92"
"TDW","202.7","23.85","10","-0.62 %","0.05"
"PNC","104.2","9.44","7050","-0.63 %","9.56"
"VNG","1468.9","15.10","213800","-0.66 %","1.13"
"DLG","419","1.40","2407590","-0.71 %","0.74"
"VTO","551.1","6.90","26450","-0.72 %","1.00"
"SPM","172.9","12.35","0","-0.80 %","-"
"PVD","4805.6","11.40","2361150","-0.87 %","0.35"
"BRC","129.9","10.50","0","-0.94 %","-"
"PTB","2566.1","52.80","365460","-0.94 %","1.63"
"PJT","159.7","10.40","1200","-0.95 %","0.38"
"POW","24121.3","10.30","2577600","-0.96 %","0.41"
"STG","1439.4","14.65","8600","-1.01 %","1.29"
"SFC","265.9","23.55","0","-1.05 %","-"
"VJC","57031.7","105.30","677260","-1.13 %","1.67"
"LBM","335","33.50","510","-1.18 %","0.40"
"DGW","2278.4","52.80","186340","-1.31 %","0.53"
"CKG","585.4","11.15","726950","-1.33 %","1.08"
"KMR","126.3","2.22","100500","-1.33 %","1.55"
"AAA","2460.5","11.65","973590","-1.35 %","0.50"
"NAF","1032.2","21.70","70560","-1.36 %","1.04"
"SVT","164.4","14.20","400","-1.39 %","1.57"
"KPF","247.7","13.75","10","-1.43 %","0.01"
"THG","757.9","52.20","5800","-1.51 %","0.64"
"PMG","518.6","12.30","60","-1.60 %","0.03"
"CLG","25.4","1.20","16780","-1.64 %","0.39"
"AGG","2417","29.30","656500","-1.68 %","0.92"
"VGC","10312","23.00","55100","-1.71 %","0.22"
"YBM","64.3","4.50","7090","-1.75 %","0.55"
"LGL","247","4.66","22570","-1.89 %","0.52"
"TCH","7441.4","20.50","2962630","-1.91 %","0.25"
"TDH","869.7","7.72","875730","-1.91 %","0.61"
"APG","347.1","10.20","1017620","-1.92 %","1.18"
"SHI","783.8","9.00","630400","-1.96 %","0.88"
"RIC","128.6","4.48","20","-1.97 %","0.02"
"DHG","13584.5","103.90","2540","-1.98 %","0.49"
"TPC","179.6","7.35","980","-2.00 %","0.78"
"NVL","60414.2","62.30","1726440","-2.04 %","1.19"
"CTF","947.2","20.80","216910","-2.12 %","1.06"
"SAB","119150","185.80","179100","-2.21 %","1.64"
"HBC","2244","10.90","4542590","-2.24 %","0.69"
"APH","9743.3","73.50","461180","-2.26 %","1.51"
"PIT","67","4.41","30","-2.43 %","0.01"
"SKG","604.2","9.54","194450","-2.45 %","1.18"
"HNG","13191.8","11.90","3020490","-2.46 %","1.59"
"ITD","154.2","9.64","129980","-2.53 %","5.77"
"VRE","66022","28.35","12351650","-2.58 %","3.69"
"TTE","313.4","11.00","260","-2.65 %","3.91"
"KSB","1632.2","30.35","544750","-2.72 %","0.47"
"SC5","263.7","17.60","2610","-2.76 %","0.81"
"LIX","1811.2","55.90","161980","-2.78 %","1.52"
"FDC","540.8","14.00","0","-2.78 %","-"
"HII","410.8","14.75","222720","-2.80 %","1.06"
"APC","416.5","20.70","13930","-2.82 %","0.43"
"VNL","153","17.00","0","-2.86 %","-"
"PAN","4348.8","20.10","50730","-2.90 %","0.38"
"SCS","5969.9","119.80","39460","-3.00 %","1.41"
"BWE","3825","25.50","490940","-3.04 %","1.28"
"LM8","103.3","11.00","1010","-3.08 %","0.28"
"DRH","437.4","7.17","551110","-3.11 %","0.52"
"PPC","7552.3","23.15","39130","-3.14 %","0.18"
"FIT","2193.2","8.61","655520","-3.15 %","1.19"
"HVH","180.4","8.22","213050","-3.29 %","1.26"
"TDM","2280","22.80","62500","-3.39 %","0.26"
"VOS","198.8","1.42","300580","-3.40 %","1.47"
"DQC","549.8","16.00","24770","-3.61 %","1.28"
"PSH","2296.8","18.20","111500","-3.70 %","0.44"
"ICT","666.2","20.70","180","-3.72 %","-"
"IMP","2993.4","46.60","48410","-3.72 %","0.74"
"HSL","77.3","4.91","101110","-3.73 %","1.00"
"C32","369","24.55","343890","-3.73 %","1.20"
"ABT","434.5","30.80","2830","-3.75 %","2.76"
"CEE","581","14.00","210","-3.78 %","0.07"
"TNT","38.5","1.51","115100","-3.82 %","1.17"
"BCM","41296.5","39.90","33890","-3.86 %","0.77"
"HVN","36591.9","25.80","283830","-3.91 %","0.53"
"D2D","1409.4","66.00","164370","-3.93 %","0.77"
"DXV","36.1","3.65","90","-3.95 %","0.03"
"PDR","14217.7","38.40","1496040","-4.00 %","0.97"
"PLX","64047","49.50","238360","-4.07 %","0.77"
"TNI","160.1","3.05","640810","-4.09 %","0.91"
"DAG","347.5","6.71","440490","-4.14 %","1.39"
"KDC","9136.9","35.60","432090","-4.30 %","0.67"
"NT2","6506","22.60","270280","-4.64 %","1.46"
"LAF","148.8","10.10","0","-4.72 %","-"
"VIS","926.6","12.55","3920","-4.92 %","1.80"
"SII","1116.2","17.30","810","-4.95 %","1.24"
"HVX","123.3","3.20","320","-5.04 %","0.06"
"THI","1390.8","28.50","4180","-5.12 %","3.18"
"PHR","7520.2","55.50","587880","-5.13 %","0.61"
"CLL","935","27.50","5520","-5.17 %","3.29"
"TGG","30","1.10","231640","-5.17 %","0.73"
"QCG","1637","5.95","87260","-5.41 %","0.26"
"NVT","410","4.53","1010","-5.43 %","0.18"
"DCL","1062.8","18.70","37760","-5.56 %","0.70"
"GTN","6175","24.70","3185870","-5.73 %","1.25"
"ELC","349.9","6.79","194490","-5.96 %","0.89"
"AST","2236.5","49.70","78600","-6.05 %","0.85"
"TSC","411.9","2.79","615780","-6.06 %","0.98"
"HID","154.6","2.63","82170","-6.07 %","0.56"
"HAP","313.2","5.63","428120","-6.17 %","0.62"
"CMG","3395","33.95","34340","-6.22 %","0.62"
"TNA","592","14.90","811210","-6.29 %","2.88"
"SBV","286","10.45","11990","-6.70 %","0.39"
"VNS","709.1","10.45","200","-6.70 %","0.03"
"QBS","152.5","2.20","21190","-6.78 %","0.27"
"FTM","67.5","1.35","203010","-6.90 %","1.31"
